"count";"username";"datetime";"text"
"1";"gaumarjosgeowinecafe";"17:27:44 18-06-2021";"🔥"
"2";"gaumarjosgeowinecafe";"17:28:14 18-06-2021";"#ирпень #ирпеньсити #ирпеньманикюр #ирпеньдети #ирпеньбуча #ирпеньдоставка #доставкаедыкиев #доставкаедыирпень #доставкаедыбуча #доставкабуча #грунскааяедадоставка #ирпеньпарк #ирпеньманикюр #доставкабуча #ирпеньногти #ирпеньпарк #ирпеньбуча #ирпеньброви #бучанскийгородскойпарк #бучанскийпарк"
"3";"skvrskkk";"17:28:35 18-06-2021";"@kovalyk"
"4";"skvrskkk";"17:28:38 18-06-2021";"@podoydee"
"5";"skvrskkk";"17:28:42 18-06-2021";"@samsoboychik"
"6";"skvrskkk";"17:28:47 18-06-2021";"@nestulia95"
"7";"skvrskkk";"17:28:51 18-06-2021";"@bamboochoo"
"8";"skvrskkk";"17:28:54 18-06-2021";"@motsia"
"9";"skvrskkk";"17:28:56 18-06-2021";"@kovalyk"
"10";"skvrskkk";"17:29:07 18-06-2021";"@vsem_pzd_"
"11";"skvrskkk";"17:29:36 18-06-2021";"@www92221"
"12";"jhurov";"17:33:16 18-06-2021";"@vika_niika"
"13";"digasolia";"17:33:32 18-06-2021";"@suhinaandrey"
"14";"digasolia";"17:33:38 18-06-2021";"@sukhinaillia"
"15";"digasolia";"17:33:49 18-06-2021";"@reservedlife"
"16";"vika_niika";"17:35:08 18-06-2021";"@jhurov"
"17";"bernatskaya_viktoriya_";"17:38:13 18-06-2021";"@ira_merychanska"
"18";"bernatskaya_viktoriya_";"17:38:19 18-06-2021";"@martyniuk_iryna_"
"19";"bernatskaya_viktoriya_";"17:38:23 18-06-2021";"@okhrimchukmarina"
"20";"bernatskaya_viktoriya_";"17:38:28 18-06-2021";"@kuzminskagavriliuk"
"21";"bernatskaya_viktoriya_";"17:38:32 18-06-2021";"@kuzminskii.sergii"
"22";"bernatskaya_viktoriya_";"17:38:41 18-06-2021";"@__only_two__"
"23";"bernatskaya_viktoriya_";"17:38:45 18-06-2021";"@05lesya12"
"24";"missolya.33";"17:38:51 18-06-2021";"@ti_lisenkova"
"25";"bernatskaya_viktoriya_";"17:38:54 18-06-2021";"@kosmashulia"
"26";"missolya.33";"17:38:57 18-06-2021";"@barbalatnadiukha"
"27";"missolya.33";"17:39:03 18-06-2021";"@barbalat_elena"
"28";"missolya.33";"17:39:10 18-06-2021";"@barbalatsasa7"
"29";"missolya.33";"17:39:14 18-06-2021";"@lisenkoov"
"30";"missolya.33";"17:39:18 18-06-2021";"@___sifufer"
"31";"bernatskaya_viktoriya_";"17:39:20 18-06-2021";"@mechta_sbudetsa11"
"32";"missolya.33";"17:39:26 18-06-2021";"@comebeinmylife"
"33";"missolya.33";"17:39:31 18-06-2021";"@a_yakubovskaya_"
"34";"bernatskaya_viktoriya_";"17:39:31 18-06-2021";"@tkachenko_victoria_"
"35";"missolya.33";"17:39:41 18-06-2021";"@di.sanovna"
"36";"missolya.33";"17:39:47 18-06-2021";"@ilepko"
"37";"bernatskaya_viktoriya_";"17:39:48 18-06-2021";"@alina_vendel"
"38";"bernatskaya_viktoriya_";"17:39:58 18-06-2021";"@ekaterinasenkovenko"
"39";"bernatskaya_viktoriya_";"17:40:25 18-06-2021";"@orlenkolesia"
"40";"bernatskaya_viktoriya_";"17:40:55 18-06-2021";"@ruda.olia"
"41";"bernatskaya_viktoriya_";"17:41:25 18-06-2021";"@viktoriya_viki90"
"42";"irinka_l.a";"17:42:08 18-06-2021";"@denis_lopanchuk"
"43";"ann_demchenko02";"17:44:22 18-06-2021";"@demchenko3561"
"44";"ann_demchenko02";"17:44:34 18-06-2021";"@d.v.daria"
"45";"sweetlana1www";"17:44:40 18-06-2021";"@sweetlana1www 💃"
"46";"ann_demchenko02";"17:44:42 18-06-2021";"@lapusia_mimi"
"47";"ann_demchenko02";"17:44:48 18-06-2021";"@alinapotebenko"
"48";"ann_demchenko02";"17:45:06 18-06-2021";"@_kristina__sergeevna__"
"49";"tanechka__tatyana";"17:45:31 18-06-2021";"@sashashmatkov"
"50";"tanechka__tatyana";"17:45:46 18-06-2021";"@bubakastor765"
"51";"irina_4433";"17:45:47 18-06-2021";"@irina.dbchk"
"52";"tanechka__tatyana";"17:45:52 18-06-2021";"@alina_bondar_"
"53";"tanechka__tatyana";"17:46:11 18-06-2021";"@alina_lyasevich"
"54";"galaluch";"17:46:35 18-06-2021";"@volkovskiy.alex"
