"count";"username";"datetime";"text"
"1";"alina__artemenko";"17:36:57 17-05-2021";"@artemenko.dms"
"2";"alina__artemenko";"17:37:09 17-05-2021";"@r4_daria"
"3";"alina__artemenko";"17:37:15 17-05-2021";"@ameli_ch"
"4";"alina__artemenko";"17:37:22 17-05-2021";"@oksa112"
"5";"marianna_ka5";"17:37:38 17-05-2021";"@serg_sergey"
"6";"alina__artemenko";"17:38:07 17-05-2021";"@pletiana_alina"
"7";"marianna_ka5";"17:38:25 17-05-2021";"@marijka_93"
"8";"marianna_ka5";"17:38:35 17-05-2021";"@konon.natasha"
"9";"igor_sadovnichiy_";"17:38:44 17-05-2021";"@natasha_shevchuc"
"10";"marianna_ka5";"17:38:46 17-05-2021";"@natahabond"
"11";"skvrskkk";"17:38:53 17-05-2021";"@kovalyk"
"12";"skvrskkk";"17:39:15 17-05-2021";"@vsem_pzd_"
"13";"skvrskkk";"17:39:21 17-05-2021";"@nestulia95"
"14";"skvrskkk";"17:39:24 17-05-2021";"@www92221"
"15";"skvrskkk";"17:39:30 17-05-2021";"@bamboochoo"
"16";"skvrskkk";"17:39:36 17-05-2021";"@podoydee"
"17";"skvrskkk";"17:39:39 17-05-2021";"@motsia"
"18";"dashatennikova";"17:40:00 17-05-2021";"@miroslavaliasota"
"19";"innamusijenko";"17:40:08 17-05-2021";"@natiknatalia6"
"20";"www92221";"17:40:12 17-05-2021";"@skvrskkk"
"21";"www92221";"17:40:19 17-05-2021";"@podoydee"
"22";"www92221";"17:40:22 17-05-2021";"@kovalyk"
"23";"www92221";"17:40:25 17-05-2021";"@vsem_pzd_"
"24";"innamusijenko";"17:40:50 17-05-2021";"@alina___martynenko"
"25";"m_s_ponomarenko";"17:41:10 17-05-2021";"@ksenia.tkh"
"26";"m_s_ponomarenko";"17:41:16 17-05-2021";"@ponomarenkoanton93"
"27";"m_s_ponomarenko";"17:41:25 17-05-2021";"@sasha.sedochenko"
"28";"m_s_ponomarenko";"17:41:32 17-05-2021";"@m.a.r.i.n.a__sl"
"29";"m_s_ponomarenko";"17:41:40 17-05-2021";"@rimmasirenko"
